Family,Err
GT53-u,0.08484109491109848
GT105-u,0.0853702649474144
GT110-u,0.08736684545874596
GT89-u,0.09128474816679955
GT76-u,0.0913512371480465
GT106-u,0.09303662180900574
GT109-u,0.09603186696767807
GT29-u,0.0981193445622921
GT103-u,0.1023278757929802
GT107-u,0.10256519168615341
GT69-u,0.10277031734585762
GT102-u,0.10410486161708832
GT71-u,0.10420412570238113
GT42-u,0.10730364173650742
GT98-u,0.10774926841259003
GT101-u,0.11168336495757103
GT95-u,0.11375594884157181
GT11-u,0.11425293236970901
GT44-u,0.1148151233792305
GT100-u,0.11524629592895508
GT48-u,0.11640570685267448
GT92-u,0.11644546315073967
GT99-u,0.12012005597352982
GT74-u,0.12055889517068863
GT73-u,0.12538761645555496
GT96-u,0.13017785549163818
GT26-u,0.13233263045549393
GT91-u,0.1360156014561653
GT97-u,0.14637412875890732
GT108-u,0.28188419342041016
