Family,Err
GT53-u,0.08484109491109848
GT105-u,0.08503450453281403
GT110-u,0.08736687898635864
GT89-u,0.09128473326563835
GT76-u,0.09135125949978828
GT106-u,0.09303657710552216
GT109-u,0.09603194147348404
GT29-u,0.0981193482875824
GT103-u,0.10232788324356079
GT107-u,0.1025652140378952
GT69-u,0.10277032479643822
GT102-u,0.1041048914194107
GT71-u,0.10420412570238113
GT42-u,0.10730370879173279
GT98-u,0.10774921625852585
GT101-u,0.11168333888053894
GT95-u,0.11375601962208748
GT11-u,0.11425291001796722
GT44-u,0.11481510102748871
GT100-u,0.1152462437748909
GT48-u,0.11640572547912598
GT92-u,0.11644543707370758
GT99-u,0.12012007087469101
GT74-u,0.12055891007184982
GT73-u,0.12538764625787735
GT96-u,0.13017790019512177
GT26-u,0.13233258575201035
GT91-u,0.1360156163573265
GT97-u,0.14637408405542374
GT108-u,0.28188425302505493
